date,country/region,y/cases,y_cases_increasing_rate,y/death,y_cases_increasing_rate,population,GDPPC,%_ages_0-14  ,%_ages_15-64  ,%_ages_65+,temperature,C1_School closing,C1_Flag,C1_Notes,C2_Workplace closing,C2_Flag,C2_Notes,C3_Cancel public events,C3_Flag,C3_Notes,C4_Restrictions on gatherings,C4_Flag,C4_Notes,C5_Close public transport,C5_Flag,C5_Notes,C6_Stay at home requirements,C6_Flag,C6_Notes,C7_Restrictions on internal movement,C7_Flag,C7_Notes,C8_International travel controls,C8_Notes,E1_Income support,E1_Flag,E1_Notes,E2_Debt/contract relief,E2_Notes,E3_Fiscal measures,E3_Notes,E4_International support,E4_Notes,H1_Public information campaigns,H1_Flag,H1_Notes,H2_Testing policy,H2_Notes,H3_Contact tracing,H3_Notes,H4_Emergency investment in healthcare,H4_Notes,H5_Investment in vaccines,H5_Notes,H6_Facial Coverings,H6_Flag,H6_Notes,M1_Wildcard,M1_Notes,StringencyIndexForDisplay,StringencyLegacyIndexForDisplay,GovernmentResponseIndexForDisplay,ContainmentHealthIndexForDisplay,EconomicSupportIndexForDisplay,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,cases_1_day_before,cases_2_day_before,cases_3_day_before,cases_4_day_before,cases_5_day_before
24/03/2020,China,69,-0.1153846154,7,0.75,1433783692,10582.1,17.8045083,70.7232986,11.472193,1.666,3,0,,3,0,,2,0,,4,0,,2,0,,3,0,,2,0,"""Wuhan, the Chinese city hardest hit by the novel coronavirus outbreak, will lift outbound travel restrictions from April 8 after over two months of lockdown, local authorities said March 24."" https://web.archive.org/web/20200407060527/http://english.www.gov.cn/news/topnews/202003/24/content_WS5e79a52bc6d0c201c2cbf50f.html",2,,0,,,0,,0,,0,,2,1,,2,,2,,0,,0,,2,1,"From 0:00 on 24 March, Wuhan becomes a mid-risk area and it means masks are only required in some public spaces. https://archive.vn/mRT0n https://archive.vn/wip/DVeVx",,,79.17,74.52,66.37,77.43,0,1.125,0.893,0.521,0.058,0.1,78,102,94,119,113
25/03/2020,China,78,-0.2352941176,4,-0.3333333333,1433783692,10582.1,17.8045083,70.7232986,11.472193,1.666,3,0,,3,0,,2,0,,4,0,,2,0,,3,0,,2,0,,2,,0,,,0,,0,,0,,2,1,,2,,2,,0,,0,,2,1,"Even in Wuhan city, the city's CDC confirms that according to the aforementioned ""notice on guiding the public to wear masks scientifically"" issued by the National Health Commission on 17 March, and Wuhan city's regulation on wearing masks dated on 22 January, citizens are allowed to not wear masks when staying at home or in outdoor open spaces. https://archive.vn/8RaNE http://web.archive.org/web/20201019212041/http://www.xinhuanet.com/local/2020-01/22/c_1125495538.htm https://archive.vn/mRT0n",,,79.17,74.52,66.37,77.43,0,1.125,0.893,0.521,0.058,0.1,102,94,119,113,98
26/03/2020,China,102,0.08510638298,6,0.2,1433783692,10582.1,17.8045083,70.7232986,11.472193,1.666,3,0,,3,0,"""The central Chinese city of Wuhan, hit hard by the coronavirus outbreak, reopens commercial outlets to residents in an orderly manner. Commercial outlets in residential communities and villages without existing confirmed or suspected COVID-19 cases can resume business, according to the Wuhan municipal bureau of commerce."" https://web.archive.org/save/http://www.xinhuanet.com/english/2020-03/24/c_138912540.htm",2,0,,4,0,,2,0,,3,0,,2,0,,3,"""Worried that international travelers might trigger a second wave of coronavirus infections, China announced late Thursday night that it was suspending practically all entry to the country by foreigners and was halting almost all international passenger flights as well."" https://web.archive.org/web/20200326195009/https://www.nytimes.com/2020/03/26/world/asia/china-virus-travel-ban.html",0,,,0,,0,,0,,2,1,,2,,2,,0,,0,,2,1,,,,81.94,78.1,68.15,79.51,0,1.125,0.893,0.521,0.058,0.1,94,119,113,98,84
27/03/2020,China,94,-0.2100840336,5,0.6666666667,1433783692,10582.1,17.8045083,70.7232986,11.472193,1.666,3,0,,3,0,,2,0,,4,0,,2,0,,3,0,,2,0,,3,,0,,,0,,3.52E+11,"Economists at Citigroup Inc. including Liu Li-Gang wrote in a note that the announcement heralds a big stimulus package centered around a deficit of 3.5% of GDP and tax reductions of 2.5 trillion yuan ($352 billion), as well as special local debt boosted to 3.5 trillion yuan from 2.15 trillion yuan in 2019. Monetary policy could see cuts to market rates and further lowering of the reserve ratio. Sources: https://web.archive.org/web/20200514052058/https://www.bloomberg.com/news/articles/2020-03-27/china-pledges-to-raise-fiscal-deficit-ratio-sell-special-debt ; https://web.archive.org/web/20200403053721/http://finance.sina.com.cn/roll/2020-04-01/doc-iimxyqwa4419712.shtml",0,,2,1,,2,,2,,0,,0,,2,1,,,,81.94,78.1,68.15,79.51,0,1.125,0.893,0.521,0.058,0.1,119,113,98,84,54
28/03/2020,China,119,0.05309734513,3,-0.4,1433783692,10582.1,17.8045083,70.7232986,11.472193,1.666,3,0,,3,0,,2,0,,4,0,,0,,Public transport restrictions lifted from Saturday 28th: https://www.reuters.com/article/us-health-coronavirus-wuhan/chinas-wuhan-where-the-coronavirus-emerged-begins-to-lift-its-lockdown-idUSKBN21F0B9,3,0,,2,0,,3,,0,,,0,,0,,0,,2,1,,2,,2,,0,,0,,2,1,,,,73.61,68.57,62.8,73.26,0,1.125,0.893,0.521,0.058,0.1,113,98,84,54,100
29/03/2020,China,113,0.1530612245,5,1.5,1433783692,10582.1,17.8045083,70.7232986,11.472193,1.666,3,0,,3,0,,2,0,,4,0,,0,,,3,0,,2,0,,3,,0,,,0,,0,,0,,2,1,,2,,2,,0,,0,,2,1,,,,73.61,68.57,62.8,73.26,0,1.125,0.893,0.521,0.058,0.1,98,84,54,100,70
30/03/2020,China,98,0.1666666667,2,-0.3333333333,1433783692,10582.1,17.8045083,70.7232986,11.472193,1.666,3,0,,3,0,,2,0,,4,0,,0,,,3,0,,2,0,,3,,0,,,0,,0,,0,,2,1,,2,,2,,0,,0,,2,1,,,,73.61,68.57,62.8,73.26,0,1.125,0.893,0.521,0.058,0.1,84,54,100,70,62
31/03/2020,China,84,0.5555555556,3,2,1433783692,10582.1,17.8045083,70.7232986,11.472193,1.666,3,0,,3,0,,2,0,,4,0,,0,,"""Wuhan, the central Chinese city once at the epicenter of the COVID-19 outbreak, has reopened more bus routes on March 29, as the city gets its public transportation system back on track. The city with a population of some 11 million has added 36 bus routes in the downtown area, bringing the total number to 180, while other districts are allowed to resume bus routes gradually starting from March 29, according to the local transport authority."" https://web.archive.org/web/20200407060749/http://english.www.gov.cn/news/topnews/202003/29/content_WS5e803509c6d0c201c2cbfbb8.html",3,0,,2,0,,3,,0,,,0,,0,,0,,2,1,,3,Chinas Joint Prevention and Control Mechanism announced efforts to intensify the screening of asymptomatic cases. https://web.archive.org/save/https://www.chinadailyhk.com/article/126119,2,,0,,0,,2,1,,,,73.61,68.57,65.18,76.04,0,1.125,0.893,0.521,0.058,0.1,54,100,70,62,48
01/04/2020,China,54,-0.46,1,-0.8333333333,1433783692,10582.1,17.8045083,70.7232986,11.472193,9.736,3,0,,3,0,,2,0,,4,0,,0,,,3,0,,2,0,,3,,0,,,0,,0,,0,,2,1,,3,,2,,0,,0,,2,1,,,,73.61,68.57,65.18,76.04,0,1.125,0.893,0.521,0.058,0.1,100,70,62,48,67
02/04/2020,China,100,0.4285714286,6,-0.4,1433783692,10582.1,17.8045083,70.7232986,11.472193,9.736,3,0,,3,0,,2,0,,4,0,,0,,,3,0,,2,0,,3,,0,,,0,,0,,0,,2,1,,3,,2,,0,,0,,2,1,,,,73.61,68.57,65.18,76.04,0,1.125,0.893,0.521,0.058,0.1,70,62,48,67,56
03/04/2020,China,70,0.1290322581,10,1.5,1433783692,10582.1,17.8045083,70.7232986,11.472193,9.736,3,0,,2,0,"""In accordance with the needs of resumption of production, resumption of production and resumption of market, each district can make appropriate adjustments to the sites that used physical isolation during the period when the community was closed."" https://web.archive.org/web/20200407223314/http://www.wh.gov.cn/hbgovinfo/zwgk_8265/tzgg/202004/t20200403_308397.html",2,0,,4,0,,0,,,3,0,,2,0,,3,,0,,,0,,0,,0,,2,1,,3,,2,,0,,0,,2,1,,,,69.91,65,62.8,73.26,0,1.125,0.893,0.521,0.058,0.1,62,48,67,56,86
04/04/2020,China,62,0.2916666667,4,0.3333333333,1433783692,10582.1,17.8045083,70.7232986,11.472193,9.736,3,0,,2,0,,2,0,"The Ministry of Civil Affairs issued a statement saying that ""local governments may suspend Tomb-sweeping day [April 4, 2020] activities, in accordance with the local epidemic control situation"" (source: https://web.archive.org/web/20200407055921/http://english.www.gov.cn/statecouncil/ministries/202003/24/content_WS5e793fdbc6d0c201c2cbf448.html). At the local level, many cities (like Shantou and Shenzhen among others in Guandong province) have issued guidance telling people not to attend on-site Tomb-sweeping activities and suggested online/remote services instead. (http://news.sina.com.cn/c/2020-03-16/doc-iimxxstf9427472.shtml)",4,0,,0,,,3,0,,2,0,,3,,0,,,0,,0,,0,,2,1,,3,,2,,0,,0,,2,1,,,,69.91,65,62.8,73.26,0,1.125,0.893,0.521,0.058,0.1,48,67,56,86,86
05/04/2020,China,48,-0.2835820896,3,0.5,1433783692,10582.1,17.8045083,70.7232986,11.472193,9.736,3,0,,2,0,,2,0,,4,0,,0,,,3,0,,2,0,,3,,0,,,0,,0,,0,,2,1,,3,,2,,0,,0,,2,1,,,,69.91,65,62.8,73.26,0,1.125,0.893,0.521,0.058,0.1,67,56,86,86,55
06/04/2020,China,67,0.1964285714,2,0,1433783692,10582.1,17.8045083,70.7232986,11.472193,9.736,3,0,,2,0,,2,0,,4,0,,0,,,3,0,,2,0,,3,,0,,,0,,0,,0,,2,1,,3,,2,,0,,0,,2,1,,,,69.91,65,62.8,73.26,0,1.125,0.893,0.521,0.058,0.1,56,86,86,55,79
07/04/2020,China,56,-0.3488372093,0,-1,1433783692,10582.1,17.8045083,70.7232986,11.472193,9.736,3,0,"""Local schools in Shanghai that have been closed in an effort to contain the spread of the new coronavirus will reopen starting April 27, the director of the citys education commission said on Thursday."" https://web.archive.org/web/20200409162352/https://www.reuters.com/article/us-health-coronavirus-china-shanghai/shanghai-set-to-reopen-schools-after-coronavirus-closures-idUSKCN21R0PP ""Shanghai, most of China to reopen schools by end of April, Beijing and Hubei yet to decide"" https://web.archive.org/web/20200409162313/https://news.cgtn.com/news/2020-04-09/Shanghai-most-of-China-reopen-schools-by-end-of-April-Pyp87FuTpm/index.html",2,0,,2,0,,4,0,"With effect from 8 April, Wuhan will lift lock down measures. Residents are requested not to leave their neighbourhoods unless absolutely necessary, and not to participate in any gatherings. Source: https://web.archive.org/web/20200430211240/http://www.wuhan.gov.cn/zwgk/tzgg/202004/t20200414_999364.shtml",0,,"""Public buses and the subway system have restarted, although they often seem to have few passengers."" https://web.archive.org/web/20200407162009/https://www.nytimes.com/2020/04/07/world/asia/wuhan-coronavirus.html",3,0,,2,0,,3,,0,,,0,,0,,0,,2,1,,3,,2,,0,,0,,2,1,,,,69.91,65,62.8,73.26,0,1.125,0.893,0.521,0.058,0.1,86,86,55,79,93
08/04/2020,China,86,0,2,0,1433783692,10582.1,17.8045083,70.7232986,11.472193,9.736,3,0,,2,0,"With effect from 8 April, Wuhan lifts lock down measures to resume daily life and production in an orderly manner. Cinemas, theatres and entertainment venues remain closed. Source: https://web.archive.org/web/20200430211240/http://www.wuhan.gov.cn/zwgk/tzgg/202004/t20200414_999364.shtml",2,0,"Wuhan lockdown ended on April 8, and on that same day the Hubei provincial government published an article saying it was still necessary for every citizen to actively cooperate and self-discipline, not to gather or get together"". Source: http://www.hubei.gov.cn/zhuanti/2020/gzxxgzbd/kp/202004/t20200408_2207424.shtml (archived: https://web.archive.org/web/20200418192053/http://www.hubei.gov.cn/zhuanti/2020/gzxxgzbd/kp/202004/t20200408_2207424.shtml)",4,0,"Wuhan lockdown ended on April 8, and on that same day the Hubei provincial government published an article saying it was still necessary for every citizen to actively cooperate and self-discipline, not to gather or get together"". Source: http://www.hubei.gov.cn/zhuanti/2020/gzxxgzbd/kp/202004/t20200408_2207424.shtml (archived: https://web.archive.org/web/20200418192053/http://www.hubei.gov.cn/zhuanti/2020/gzxxgzbd/kp/202004/t20200408_2207424.shtml)",0,,,1,0,Residents are advised not to leave their neighbourhoods unless absolutely necessary after the lifting of lockdown on 8 April. Source: https://web.archive.org/web/20200430211240/http://www.wuhan.gov.cn/zwgk/tzgg/202004/t20200414_999364.shtml,1,0,Residents are advised not to leave Wuhan municipality or Hubei province unless absolutely necessary after the lifting of lockdown on 8 April. Source: https://web.archive.org/web/20200430211240/http://www.wuhan.gov.cn/zwgk/tzgg/202004/t20200414_999364.shtml,3,"""It also announced it would indefinitely extend its ban on foreigners entering or transiting."" https://web.archive.org/web/20200407045455/https://www.theguardian.com/world/2020/apr/07/china-reports-zero-daily-deaths-from-coronavirus-for-the-first-time-since-january",0,,,0,,0,,0,,2,1,,3,,2,,0,,0,,2,1,,,,56.94,59.05,54.46,63.54,0,1.125,0.893,0.521,0.058,0.1,86,55,79,93,112
09/04/2020,China,86,0.5636363636,2,1,1433783692,10582.1,17.8045083,70.7232986,11.472193,9.736,3,0,,2,0,,2,0,,4,0,,0,,,1,0,,1,0,,3,,0,,,0,,0,,0,,2,1,,3,,2,,0,,0,,2,1,,,,56.94,59.05,54.46,63.54,0,1.125,0.893,0.521,0.058,0.1,55,79,93,112,94
